place	lemma_andersen	explanation	year	years	volumes	work	page	occurrences	references	confidence	evidence	geo_id
Frankrig	Frankrig	England havde en hovedmodstander i Frankrig; Ludvig 14.s ønsker vedr. magtfordelingen i Europa førte til bl.a. Den Pfalziske Arvefølgekrig (1688-1697) og Den Spanske Arvefølgekrig (1701-1714), hvor en række europæiske stater, bl.a. England og Holland, gik sammen mod Frankrig.	1832	1832	10	Bruden fra Lammermoor	175	1	v10:175 (1832)	medium	located	
franske Academie	franske Academie	siden 1803 havde det franske akademi i Rom til huse i Villa Medici, et palads, der blev bygget ca. 1450 og senere købt af Medicifamilien.	1842	1842	14	En Digters Bazar	297	1	v14:297 (1842)	medium	located+place-type	
Frascati	Frascati	by 21 km sydøst for Rom.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	137	1	v17:137 (1855)	high	head-noun+located+place-type	
Fraskati	Fraskati	by tæt ved Tusculum.	1835	1835	4	Improvisatoren	189	1	v4:189 (1835)	high	head-noun+located+place-type	
Fredensborg	Fredensborg	Fredensborg Slot eller by. ¶ Fredensborg Slotskirke. ¶ kongeligt residensslot opført af Frederik 4. (1671-1736, konge fra 1699) i 1720-1726 og udbygget i flere omgange frem til 1770’erne.	1826	1826 1860	8 9 14	Nyeste Skilderie af Kjøbenhavn	48	3	v14:48 (1826); v9:459 (1860); v8:453 ()	high	in-register+head-noun+place-type	geo-2621956
Fredericia	Fredericia	den første danske by, hvortil indvandrede jøder fik adgang (fra 1600-tallet). ¶ slesvigholstenerne indesluttede byen efter slaget ved Kolding, mens rigstropperne forfulgte general Olaf Rye nordpå.	1837	1837 1857	5 6	Kun en Spillemand	31	2	v5:31 (1837); v6:198 (1857)	high	head-noun+place-type+located	
Frederik Ferdinand Biering	Præsten	Frederik Ferdinand Biering, siden 1848 sognepræst i Svindinge.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	131	1	v18:131 (1869)	medium	located	
Frederiksborg	Frederiksborg	slot ved Hillerød i Nordsjælland. Dets ældste del er opført i 1560 af Frederik 2. (1534-1588, konge fra 1559), men hovedparten er bygget 1600-1620 under Christian 4 (1577-1648, konge fra 1588).	1826	1826	14	Nyeste Skilderie af Kjøbenhavn	48	1	v14:48 (1826)	high	head-noun+located+place-type	
Frederiksborg Slot	Frederiksborg | Frederiksborg Slot	Frederiksborg Slot, tidligere konge- og jagtslot ved Hillerød nord for København; erhvervet af Frederik 2. (1534-1588; konge fra 1559), 1602-1625 lod Christian 4. de gamle bygninger nedrive og det nuværende slot opføre. ¶ Frederiksborg Slot brændte natten mellem den 16. og 17. december 1859.	1829	1829 1869	9 18	Fodreise fra Holmens Canal til Østpynten af Amager i Aarene 1828 og 1829	182	2	v9:182 (1829); v18:223 (1869)	high	head-noun+located+place-type+in-register	geo-2621938
Frederikshavn	Fladstrand	Frederikshavn, hvor H.C. Andersen opholdt sig 11.-16. august.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	217	1	v18:217 (1869)	high	head-noun+place-type	
