place	lemma_andersen	explanation	year	years	volumes	work	page	occurrences	references	confidence	evidence	geo_id
Bilbao	Bilbao	se kort.	1863	1863	15	I Spanien	408	1	v15:408 (1863)	high	se-kort	
Bjergene	Bjergene	Sierra de Guadarrama nordøst for Madrid, se kort.	1863	1863	15	I Spanien	384	1	v15:384 (1863)	high	se-kort	
Bjergprædiken	Bjergprædiken	sigter til den såkaldte bjergprædiken i Matthæus 5-7.	1835	1835 1837	4 5	Improvisatoren	169	2	v4:169 (1835); v5:71 (1837)	medium	located	
Blankenburg	Blankenburg	se kort.	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	116	1	v14:116 (1831)	high	in-register+se-kort	geo-2948071
Blankenese	Blankenese	den gang lille skipper- og fiskerby ved Elben ca. 7 km fra Altona.	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	78	1	v14:78 (1831)	medium	located+place-type	
Blegdam	Blegdam(men)	plads, hvor tøjet lægges til blegning i solen.	1829	1829	14	Brudstykke af en Udflugt i Sommeren 1829	53	1	v14:53 (1829)	high	head-noun+place-type	
Blegen	Blegen	plads, hvor tøjet efter vask blev lagt til tørre og bleget i solen.	1835	1835 1836	4	Improvisatoren	200	2	v4:200 (1835); v4:427 (1836)	high	head-noun+place-type	
Blois	Blois	fransk by ved Loirefloden, 60 km sydvest for Orléans. Slottet i Blois stammer fra 1200-tallet og er senere udvidet.	1865	1865	13	Da Spanierne var her	500	1	v13:500 (1865)	medium	located+place-type	
Bloksbjerg	Brocken | Brocken(s)	Bloksbjerg; det højeste bjerg i Harzen. ¶ Bloksbjerg; det højeste bjerg i Harzen, hvor heksene ifølge folketroen samlede sig. ¶ Bloksbjerg, det højeste bjerg i Harzen, hvor heksene efter sagnet samlede sig. ¶ Bloksbjerg, bjergkæde i Harzen.	1833	1833 1837 1857 1868 1869	5 6 7 15 18	Af Samlede Digte	455	6	v7:455 (1833); v5:47 (1837); v5:277 (1837); v6:83 (1857); v15:468 (1868); v18:315 (1869)	high	in-register+head-noun+located+place-type	place-000023
Blomberg	Blomberg	herregård.	1851	1851	15	I Sverrig	25	1	v15:25 (1851)	high	head-noun+place-type	
boble, boble Kilden	boble, boble Kilden	omkvæd af terzetten »Risler, alle Kilder smaa« fra Weyses og Oehlenschlägers syngespil Faruk, opført på Det Kongelige Teater 1812.	1841	1841	11	Vandring gjennem Opera-Galleriet	524	1	v11:524 (1841)	medium	located	
Bodensee	Bodensøe	Bodensee; se kort.	1858	1858	15	Fortællinger og Vers for Større og Mindre	153	1	v15:153 (1858)	high	se-kort	
Bohus	Bohus	se kort 2.	1851	1851	15	I Sverrig	71	1	v15:71 (1851)	high	se-kort	
Boldgade	Boldgade	distrikt.	1860	1860	2	Gaardhanen og Veirhanen	297	1	v2:297 (1860)	high	head-noun+place-type	
Bologna	Bologna	se kort.	1842	1842	14	En Digters Bazar	265	1	v14:265 (1842)	high	in-register+se-kort	geo-3181928
Borddansen	Borddansen	interessen for spiritismen havde bredt sig fra USA i årene efter 1850. Bordet, der bevæger sig af sig selv, var et fast indslag i de spiritistiske seancer.	1874	1874	3	Bemærkninger til Eventyr og Historier	400	1	v3:400 (1874)	medium	located	
Bordeaux	Bordeaux	by i det sydvestlige Frankrig ved Biscayabugten ca. 200 km fra grænsen til Spanien.	1868	1868	15	Et Besøg i Portugal 1866	421	1	v15:421 (1868)	high	head-noun+place-type	
Borg	Borg	Næsbyhoved Slot. Ødelagt i 1534 under Grevens Fejde og endelig nedrevet i 1764.	1832	1832	16	Levnedsbog	160	1	v16:160 (1832)	medium	located+place-type	
Borreby	gammelt Sagn … Nabogaarde | Borreby	Borreby, herregård syd for Skælskør, ligger kun få km fra Basnæs; sagnet har ikke kunnet identificeres. ¶ hovedgård 2 km syd for Skelskør.	1869	1869	8 18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	224	2	v18:224 (1869); v8:380 ()	high	head-noun+located+place-type	
Bosporus	Bosporus	stræde, der deler Istanbul i en europæisk og en asiatisk del og forbinder Marmarahavet med Sortehavet; se kort. ¶ stræde ved Istanbul, der forbinder Sortehavet med Marmarahavet.	1842	1842 1855	14 17	En Digters Bazar	454	2	v14:454 (1842); v17:297 (1855)	high	in-register+se-kort+head-noun+place-type+located	geo-745043
Bosporusstrædet	Bosporus	Bosporusstrædet, 30 km langt stræde ved Istanbul.	1851	1851	15	I Sverrig	61	1	v15:61 (1851)	high	in-register+located+place-type	
Bouchain	Bouchain	by i Nordfrankrig, hvor Mikkels herskab, majoren, har fået anvist kvarter, men som han forlader for at tage til Paris.	1840	1840	11	Mikkel(s)majorens tjener i J.L. Heibergs vaudeville <i>De Danske i Paris</i>, opført på Det Kongelige Teater 1833.Mikkels Kjærligheds Historier i Paris	377	1	v11:377 (1840)	high	head-noun+located+place-type	
Bozen	Botzen	Bozen, nuværende Bolzano i italienske Sydtyrol; se kort.	1842	1842	14	En Digters Bazar	257	1	v14:257 (1842)	high	se-kort	
Braunschweig	Braunschweig(s)	se kort.	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	86	1	v14:86 (1831)	high	in-register+se-kort	geo-2945024
Braunschweig … Magdeburg	Braunschweig … Magdeburg	se kort.	1842	1842	14	En Digters Bazar	232	1	v14:232 (1842)	high	se-kort	
Braunschweiger-Mumme	Braunschweiger-Mumme	stærk, mørk øl fra Braunschweig.	1858	1858	2	Flaskehalsen	169	1	v2:169 (1858)	medium	located	
Bredgadens Gaard	Bredgadens Gaard	Jonas Collins gård (bindingsværksbygning) i Bredgade 4 i København, hvor familien Collin boede fra 1802 til 1838, og hvor Louise Collin således voksede op.			8	(untitled)	361	1	v8:361 ()	medium	located+place-type	
Bregentved	Bregentved(s) | Bregentved	herregård ved Haslev. ¶ A.W. Moltkes herregård fra ca. 1650 ved Haslev. ¶ lensgreve A.W. Moltkes herregård fra ca. 1650 ved Haslev. ¶ herregård fra ca. 1650 ved Haslev, ejet af lensgreve A.W. Moltke. ¶ herregård fra ca. 1650 ved Haslev, ejet af lensgreve A.W. Moltke, hvor H.C. Andersen fejrede julen 1848. ¶ hovedgård 5 km sydøst for Haslev. ¶ hovedgård ved Haslev, ejet af lensgreve Adam Wilhelm Moltke og komtesse Marie Elisabeth Moltke. H.C. Andersen var første gang gæst på Bregentved i sommeren 1842 og kom der flittigt op igennem 1840’erne.	1846	1846 1849 1855	5 8 16 17	Mit eget Eventyr uden Digtning	263	7	v16:263 (1846); v5:444 (1849); v17:234 (1855); v8:130 (); v8:256 (); v8:475 (); v8:500 ()	high	head-noun+located+place-type	
Breitenburg	Breitenburg	gehejmestatsminister Rantzaus borg syd for Itzehoe i Slesvig-Holsten, hvor H.C. Andersens var på besøg i både 1840, 1843 og 1844; Rantzau bevirkede, at Andersen i 1838 tildeltes en årlig offentlig understøttelse på 400 Rdl. ¶ slot ca. 3 km sydøst for Itzehoe (se kort), grundlagt i begyndelsen af 1500-tallet som hovedsæde for adelsfamilien Rantzau. ¶ gehejmestatsminister Andreas Conrad Peter Rantzaus borg syd for Itzehoe i Slesvig-Holsten, hvor H.C. Andersen opholdt sig 2.-19. februar 1843.	1842	1842 1855	8 14 17	En Digters Bazar	221	3	v14:221 (1842); v17:249 (1855); v8:95 ()	high	in-register+located+place-type+se-kort+head-noun	geo-2944627
Bremen	Bremen	se kort.	1842	1842	14	En Digters Bazar	230	1	v14:230 (1842)	high	se-kort	
Brenner	Brenner	Brennerpasset mellem Østrig og Italien; se kort.	1842	1842	14	En Digters Bazar	255	1	v14:255 (1842)	high	se-kort	
Brenta	Brenta	flod, der udmunder ved Venezia.	1835	1835	4	Improvisatoren	347	1	v4:347 (1835)	high	head-noun+located+place-type	
Brobye	Brobye	landsby på midtfyn mellem Odense og Fåborg.	1822	1822	9	Ungdoms-Forsøg	54	1	v9:54 (1822)	high	head-noun+located+place-type	
Brocken	Brocken	Bloksbjerg. Det højeste bjerg i Harzen på 1142 m, hvor heksene ifølge folketroen samlede sig.	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	88	1	v14:88 (1831)	high	in-register+head-noun+located+place-type	geo-2943991
Broholm	Broholm	herregård i Gudme nord for Svendborg.	1837	1837	5	Kun en Spillemand	56	1	v5:56 (1837)	high	head-noun+located+place-type	
Brudeskare … forsvunden	Brudeskare … forsvunden	kilden er ikke fundet.	1860	1860	15	Folkekalender for Danmark	195	1	v15:195 (1860)	high	head-noun+place-type	
Brunnbäcks Färja	Brunbäck Færge	Brunnbäcks Färja; færgested ved Dalälvens udmunding nær Avesta. Se kort 2.	1851	1851	15	I Sverrig	95	1	v15:95 (1851)	high	se-kort+located	
Bråviken	Braavigen	Bråviken; se kort 2.	1851	1851	15	I Sverrig	53	1	v15:53 (1851)	high	se-kort	
Bukarest	Buccharest	Bukarest, Rumæniens hovedstad; se kort.	1842	1842	14	En Digters Bazar	510	1	v14:510 (1842)	high	se-kort	
Bulgariet og Rumelien	Bulgariet og Rumelien	landskaber nord for Balkan, mellem Albanien og Sortehavet; de nuværende statsgrænser forløber anderledes end på H.C. Andersens tid.	1842	1842	14	En Digters Bazar	502	1	v14:502 (1842)	medium	located+place-type	
Bunkeflod var død	Bunkeflod var død	Bunkeflod døde i 1805.	1832	1832	16	Levnedsbog	63	1	v16:63 (1832)	high	head-noun+place-type	
Burgtheater	Burgtheater	kongeligt teater åbnet 1742, siden flyttet. På H.C. Andersens tid Wiens fornemste teater.	1846	1846	16	Mit eget Eventyr uden Digtning	249	1	v16:249 (1846)	medium	located	
Byens Hede	Byens Hede	bymark vest for Odense.	1829	1829	14	Brudstykke af en Udflugt i Sommeren 1829	55	1	v14:55 (1829)	medium	located	
Bålstad	Bålstad	muligvis Båtsta ca. 3 km nordvest for Borlänge (se kort 2). Österdalälven og Västerdalälven mødes dog lidt længere mod vest, nemlig syd for Siljan.	1851	1851	15	I Sverrig	117	1	v15:117 (1851)	high	se-kort	
Bækken … hellig	Bækken … hellig	den kastaliske kilde, nu Hagios Johannes. Ifølge sagnet kastede nymfen Kastalia sig i kilden, da hun blev forfulgt af Apollon. Kildevandet antoges at kunne begejstre digtere.	1862	1862	3	Venskabs-Pagten	28	1	v3:28 (1862)	high	head-noun+place-type	
Børglum Kloster	Børglum Kloster	hovedgård 20 km sydvest for Hjørring nær Løkken Strand; tidligere kongsgård (1000-tallet), bispesæde (fra 1130’erne) og præmonstratenserkloster; ved reformationen inddraget under kronen, siden privateje, fra 1835 i slægten Rottbøll.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	213	1	v18:213 (1869)	high	head-noun+located+place-type	
Büjükdere	Bujukdere	Büjükdere, by på Bosporusstrædets vestbred, ca. 35 km nord for Istanbul; se kort.	1842	1842	14	En Digters Bazar	485	1	v14:485 (1842)	high	se-kort+located+place-type	
Cains Gjerning	Cains Gjerning	Kains brodermord på Abel, jf. 1. Mosebog 4.	1857	1857	6	»At være eller ikke være«	49	1	v6:49 (1857)	medium	located	
Calabrien	Calabrien	halvø og den sydligste region på Italiens fastland.	1842	1842	14	En Digters Bazar	356	1	v14:356 (1842)	high	head-noun+located+place-type	
Calais til Dover	Calais til Dover	havnebyer ved Den engelske Kanal (strædet ved Dover/Calais) i henholdsvis Nordfrankrig og Sydengland. – Ramsgate: havneby stik vest for London i det vestlige Kent, nord for Dover. – Han havde indbudt mig: i et brev dateret Tavistock House, London den 3.april 1857, indklæbet i Album s. 33. De følgende citater er oversatte fra brevet: »We shall not be at home here in London itself, after the first week in June, but we shall be at a little country house I have, only twenty seven miles away. It is on a line of Railroad, and within an hour and a half of London, in a very beautiful part of Kent«.	1860	1860	15	Berlingske politiske Avertissements-Tidende	160	1	v15:160 (1860)	medium	located+place-type	
Camaldoli	Camaldoli	kloster ved Napoli, beliggende ved et af Vesuvs kratere.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	331	1	v17:331 (1855)	high	head-noun+located+place-type	
Campagne	Campagne	den store slette, der omgiver Rom.	1835	1835	4	Improvisatoren	77	1	v4:77 (1835)	high	head-noun+place-type	
Campagnen	Campagnen	landskabet omkring Rom. ¶ flodslette uden for Rom og Tiberens nedre løb. ¶ den store slette, der omgiver Rom. ¶ sletten, der omgiver Rom.	1837	1837 1846 1849 1853 1862 1870	2 5 6 8 16	Kun en Spillemand	251	7	v5:251 (1837); v16:320 (1846); v5:462 (1849); v2:73 (1853); v2:441 (1862); v6:333 (1870); v8:124 ()	high	head-noun+located+place-type	
Campagnien	Campagnien	den store slette omkring Rom.	1835	1835	14	Søndagsblad. Et æsthetisk Ugeskrift	200	1	v14:200 (1835)	high	head-noun+located+place-type	
Canal-Reisen til Stockholm	Canal-Reisen til Stockholm	den 25. juni rejser H.C. Andersen ad Göta kanal fra Göteborg mod Stockholm, hvortil han ankommer til 29. juni.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	181	1	v17:181 (1855)	medium	located+place-type	
Canton	Canton | Canton(et)	en republik inden for den schweiziske forbundsstat.	1855	1855 1862	2 17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	123	2	v17:123 (1855); v2:393 (1862)	high	head-noun+place-type	
Cap Colonne	Cap Colonne	se kort.	1842	1842	14	En Digters Bazar	432	1	v14:432 (1842)	high	se-kort	
Cap Finisterre	Cap Finisterre	se kort.	1868	1868	15	Et Besøg i Portugal 1866	477	1	v15:477 (1868)	high	se-kort	
Cap Matapan	Cap Matapan(s)	ældre navn for Tainaron (Tenaro); se kort.	1842	1842	14	En Digters Bazar	376	1	v14:376 (1842)	high	se-kort	
Cap Mysenum	Cap Mysenum	forbjerget Capo di Miseno ved Napoli. ¶ halvø nordvest for Napoli; se kort.	1835	1835 1837	5 14	Søndagsblad. Et æsthetisk Ugeskrift	199	2	v14:199 (1835); v5:15 (1837)	high	head-noun+place-type+se-kort+located	
Capri	Capri	klippeø 30 km syd for Napoli.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	153	1	v17:153 (1855)	medium	located	
Capris Klippehuler	Capris Klippehuler	kysten på øen Capri i Middelhavet ud for Napoli er rig på huler dannet af havet.	1837	1837	5	Kun en Spillemand	87	1	v5:87 (1837)	high	head-noun+place-type	
Capuziner-Klostret	Capuziner-Klostret	kirken Santa Maria della Concezione blev bygget 1626-1631 sammen med et cappuccinerkloster, der dog senere blev nedrevet ved etableringen af Via Veneto. Krypten er berømt for at være udsmykket med knogler, jf. s. 142-143.	1842	1842	14	En Digters Bazar	298	1	v14:298 (1842)	high	head-noun+place-type	
Caribien	Karaiber-Pigen(s)	Caribien, øerne mellem Nord- og Sydamerika, omfatter Store og Små Antiller samt Bahamaøerne.			12	AhasverusDen evige Jøde, Jerusalems Skomager, skikkelse fra et middelalderligt sagn, ofte behandlet i dansk litteratur på H.C. Andersens tid. If. sagnet slog Ahasverus Jesus, da denne var på vej til korsfæstelsen på Golgathabjerget; derfor må han vandre fredløs om i verden til evig tid uden at kunne dø. En dansk bearbejdelse, 1607, af en tysk folkebog om Ahasverus fra 1602 er gået tabt; en dansk udgave fra 1631 er bevaret. En almuevise om Ahasverus stammer formentlig fra 1700-tallets første del.Ahasverus	348	1	v12:348 ()	medium	located+place-type	
Caroline Amalie	Caroline Amalie	H.C. Andersen var 17.20. maj hendes gæst på Sorgenfri Slot ved Lyngby.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	192	1	v18:192 (1869)	medium	located+place-type	
Carrara	Carrara	by nordvest for Firenze, berømt for sine marmorbrud. ¶ se kort.	1835	1835 1836 1870	4 15	Improvisatoren	229	4	v4:229 (1835); v4:349 (1835); v4:382 (1836); v15:490 (1870)	high	head-noun+located+place-type+se-kort	
carrarisk	carrarisk	fra marmorbruddene i Carrara; se kort.	1842	1842	14	En Digters Bazar	364	1	v14:364 (1842)	high	se-kort	
Cartagena	Cartagena	havneby på den spanske sydkyst, hvor H.C. Andersen opholdt sig fra 16. til 19. september 1862. ¶ se kort.	1863	1863	8 15	I Spanien	256	2	v15:256 (1863); v8:340 ()	high	head-noun+place-type+se-kort	
Carthagenienser	Carthagenienser	Karthago var en stor handelsby på Afrikas nordkyst i oldtiden; førte i 3.-2. årh. f.Kr. de såkaldte puniske krige mod Rom. Karthago blev tilintetgjort 146 f.Kr.			12	AhasverusDen evige Jøde, Jerusalems Skomager, skikkelse fra et middelalderligt sagn, ofte behandlet i dansk litteratur på H.C. Andersens tid. If. sagnet slog Ahasverus Jesus, da denne var på vej til korsfæstelsen på Golgathabjerget; derfor må han vandre fredløs om i verden til evig tid uden at kunne dø. En dansk bearbejdelse, 1607, af en tysk folkebog om Ahasverus fra 1602 er gået tabt; en dansk udgave fra 1631 er bevaret. En almuevise om Ahasverus stammer formentlig fra 1700-tallets første del.Ahasverus	275	1	v12:275 ()	medium	located+place-type	
Carthaginienser	Carthaginienser	Karthago var en stor handelsby på Afrikas nordkyst i oldtiden; førte i 3.-2. årh. f.Kr., de såkaldte puniske krige mod Rom. Karthago blev tilintetgjort 146 f.Kr.			12	Fragmenter af »Ahasverus«	46	1	v12:46 ()	medium	located+place-type	
Cartuja	Cartuja	karteuserkloster fra 1516.	1863	1863	15	I Spanien	297	1	v15:297 (1863)	high	head-noun+place-type	
Casa de Pilatos	Pilati Huus … Jerusalem	Casa de Pilatos, palads fra midten af 1500-tallet. Størstedelen er bygget af don Fabrique, marquis af Tarifa efter en rejse til Jerusalem, og det fik ry for at være en efterligning af den romerske præfekt Pontius Pilatus’ (d. 35 e.Kr.) hus. Det blev siden residens for hertugerne af Alcalá de los Gazules (se kort) og Medinaceli (se kort).	1863	1863	15	I Spanien	362	1	v15:362 (1863)	high	se-kort+place-type	
Cascade	Cascade	vandfald; her Trevifontænens kunstige vandfald.	1835	1835	4	Improvisatoren	73	1	v4:73 (1835)	high	head-noun+place-type	
Cascader	Cascader	vandfald.	1842	1842 1857	6 14	En Digters Bazar	320	2	v14:320 (1842); v6:82 (1857)	high	head-noun+place-type	
Castel	Castel	(mindre) fæstning, skanse.	1868	1868	15	Et Besøg i Portugal 1866	456	1	v15:456 (1868)	high	head-noun+place-type	
Castel Sant’Elmo	St. Elmo	Castel Sant’Elmo, fæstning på Napolis højeste punkt, bygget 1329 og ombygget i slutningen af 1500-tallet.	1842	1842	14	En Digters Bazar	344	1	v14:344 (1842)	medium	located+place-type	geo-3167334
Castelamare	Castelamare	by syd for Napoli.	1835	1835	4	Improvisatoren	248	1	v4:248 (1835)	high	head-noun+located+place-type	
Castelfiorentino	Castellone	Castelfiorentino; se kort.	1842	1842	14	En Digters Bazar	285	1	v14:285 (1842)	high	se-kort	geo-3179696
Castellet	Castellet	paladset Dar el Makhzen, bygget af Mulay Ismail, fungerede som bolig for sultanens repræsentant i byen.	1863	1863	15	I Spanien	343	1	v15:343 (1863)	high	head-noun+place-type	
Castelo de Palmela	Palmella	Castelo de Palmela, beliggende på en klippe højt over bjerglandsbyen Palmela i Serra da Arrábida; se kort. Fæstningen, som går tilbage til maurertiden, blev erobret af portugiserne i 1100-taller, ombygget til kloster i 1423 under João 1.	1868	1868	15	Et Besøg i Portugal 1866	431	2	v15:431 (1868); v15:445 (1868)	high	se-kort+place-type	
